case,spectrum,bin_center_ell,planck_data_bin,model_bin,model_minus_planck,sigma,io_minus_planck_sigma
io_backbone_control,TT,1682.0,0.000855414782101172,0.0009192334645739399,6.381868247276785e-05,1.971280861748743e-05,3.2374221102189193
io_backbone_control,TT,1699.0,0.0008709565015168627,0.0009036473245606421,3.269082304377933e-05,1.969573295467991e-05,1.6597921549302714
io_backbone_control,TT,1716.0,0.0008381615436904831,0.0008835174379161469,4.5355894225663856e-05,1.96683758520064e-05,2.3060314978187195
io_backbone_control,TT,1733.0,0.0008522702603741782,0.0008569809690619856,4.7107086878074404e-06,1.964398712856892e-05,0.23980410173230546
io_backbone_control,TT,1750.0,0.0007744987357917707,0.0008232616261460626,4.876289035429186e-05,1.955146089852528e-05,2.4940791180453386
io_backbone_control,TT,1767.0,0.0007622938649284188,0.0007828957860724761,2.060192114405738e-05,1.949448754685145e-05,1.0568075254373535
io_backbone_control,TT,1784.0,0.0007445641832189867,0.0007376283152788972,-6.935867940089497e-06,1.937324962683948e-05,-0.3580126242982295
io_backbone_control,TT,1801.0,0.0006946386917765485,0.0006895485110776827,-5.09018069886583e-06,1.917472453255318e-05,-0.26546304173622753
io_backbone_control,TT,1818.0,0.0006506473321564262,0.0006411795543224027,-9.467777834023519e-06,1.90257344114009e-05,-0.497630085088862
io_backbone_control,TT,1835.0,0.0005837456837915815,0.0005949584761092495,1.1212792317667991e-05,1.890443342794733e-05,0.5931303024978037
io_backbone_control,TT,1852.0,0.0005591156245340825,0.0005527438768871836,-6.371747646898951e-06,1.876471916572563e-05,-0.3395599790556501
io_backbone_control,TT,1869.0,0.0004964424967181403,0.0005160597223331417,1.9617225615001384e-05,1.863155650943535e-05,1.0529032077951659
io_backbone_control,TT,1886.0,0.0004694641736116027,0.0004855769672159352,1.6112793604332516e-05,1.860249005637246e-05,0.8661632692991509
io_backbone_control,TT,1903.0,0.0004333865568906767,0.00046132584284297397,2.793928595229726e-05,1.857075202450861e-05,1.504477897040712
io_backbone_control,TT,1920.0,0.0004394444493867923,0.0004428355139702844,3.3910645834920867e-06,1.852731706566618e-05,0.18303052576221215
io_backbone_control,TT,1937.0,0.0004106468540736241,0.00042899404438694706,1.834719031332298e-05,1.86025451481873e-05,0.9862731237671959
io_backbone_control,TT,1954.0,0.000380459146391775,0.00041852704175599225,3.806789536421726e-05,1.864563170435994e-05,2.041652220091625
io_backbone_control,TT,1971.0,0.0003706379832104431,0.00040996216686880734,3.932418365836421e-05,1.873053944271763e-05,2.0994688262250407
io_backbone_control,TT,1988.0,0.0003588394917322439,0.00040182294905964167,4.298345732739776e-05,1.880502367313715e-05,2.285743324471287
